1,3,favorite,do volunteer work,가장 좋아하는,subject,subject,"과목,주제",science,station,과학,My favorite subject is science.,제가 가장 좋아하는 과목은 과학입니다.
2,2,listen to,nursing home,~을 듣다,music,soccer field,음악,,,,She is listening to music.,그녀는 음악을 듣고 있습니다.
3,3,take,look,"데려가다,가져가다",subwasy,wear,지하철,station,science,역,I can take you to the subway station.,제가 당신을 지하철 역에 데려다 드릴 수 있습니다.
4,2,do volunteer work,vietnam,자원봉사 하다,library,smell,도서관,,,,I do volunteer work at the library every Saturday.,저는 토요일마다 도서관에서 자원봉사를 합니다.
5,2,nursing home,favorite,양로원,last weekend,air pollution,지난 주말,,,,I went to a nursing home with my friend last weekend.,저는 지난 주말에 제 친구와 양로원에 갔습니다.
6,2,protect,listen to,보호하다,mud,go hiking,진흙,,,,Mud protects them from the sun.,진흙은 햇빛으로부터 그것들을 보호합니다.
7,2,weather,take,날씨,forecast,practice,예보,,,,Did you check the weather forecast?,일기 예보 확인하셨나요?
8,2,vietnam,English,베트남,wear,music,"입다, 쓰다",,,,People in Vietnam love wearing the hat.,베트남 사람들은 그 모자를 쓰는 걸 정말 좋아합니다.
9,3,look,people,~해 보이다,smell,subwasy,~한 냄새가 나다,terrible,,끔찍한,The food looked terrible and smelled bad.,그 음식은 끔찍해 보였고 안 좋은 냄새가 났습니다.
10,2,report,decide,보도하다,air pollution,library,대기 오염,,,,I want to report on air pollution.,저는 대기 오염에 대해 보도하고 싶습니다.
11,3,be going to,start,~할 것이다,go hiking,last weekend,등산 가다,next weekend,laugh at,다음 주말,I am going to go hiking with her next weekend. ,저는 다음 주말에 그녀와 함께 등산을 갈 겁니다.
12,3,take a picture,take a picture,사진을 찍다,in front of,mud,~ 앞에,building,sea,건물,We took a picture in front of the building.,우리는 그 건물 앞에서 사진을 찍었습니다.
13,3,English,report,영어,difficult,forecast,어려운,think,hard,생각하다,I think English is so difficult.,제 생각에 영어는 정말 어려워요.
14,3,people,be going to,사람들,village,in front of,마을,laugh at,next weekend,비웃다,Many people in the village laughed at him.,그 마을에 있는 많은 사람들이 그를 비웃었습니다.
15,3,decide,protect,결심하다,soccer field,difficult,축구장,sea,building,바다,We decided to make a soccer field on the sea.,우리는 바다 위에 축구장을 만들기로 결심했습니다.
16,4,start,weather,시작하다,practice,village,연습하다,hard,think,열심히,We started to practice hard for the competition.,우리는 그 시합을 위해 열심히 연습하기 시작했습니다.